gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
121440,Chile,38,CHI,1,8,4,31,7,38,7,40,12,30.0,21,2,9.5,61,14,23.0,8,3,37.5,37,11,29.7,18,33,7,15,0,200.0,121440,Colombia,40,COL,1,16,4,40,8,48,18,43,16,37.2,17,4,23.5,60,20,33.3,19,15,79.0,27,7,25.9,7,59,9,13,1,200.0
121440,Colombia,40,COL,2,16,4,40,8,48,18,43,16,37.2,17,4,23.5,60,20,33.3,19,15,79.0,27,7,25.9,7,59,9,13,1,200.0,121440,Chile,38,CHI,2,8,4,31,7,38,7,40,12,30.0,21,2,9.5,61,14,23.0,8,3,37.5,37,11,29.7,18,33,7,15,0,200.0
121431,Canada,34,CAN,1,17,2,42,26,68,11,59,23,39.0,27,9,33.3,86,32,37.2,11,9,81.8,47,21,44.7,9,82,8,16,3,200.0,121431,Dominican Republic,51,DOM,1,10,4,29,11,40,9,47,13,27.7,22,5,22.7,69,18,26.1,8,5,62.5,32,11,34.4,11,46,8,15,2,200.0
121431,Dominican Republic,51,DOM,2,10,4,29,11,40,9,47,13,27.7,22,5,22.7,69,18,26.1,8,5,62.5,32,11,34.4,11,46,8,15,2,200.0,121431,Canada,34,CAN,2,17,2,42,26,68,11,59,23,39.0,27,9,33.3,86,32,37.2,11,9,81.8,47,21,44.7,9,82,8,16,3,200.0
121432,Brazil,27,BRA,1,31,2,38,22,60,18,49,25,51.0,26,13,50.0,75,38,50.7,30,17,56.7,44,25,56.8,8,106,14,10,4,200.0,121432,El Salvador,54,ESA,1,12,1,23,4,27,8,39,13,33.3,21,6,28.6,60,19,31.7,10,5,50.0,25,8,32.0,18,49,5,17,2,200.0
121432,El Salvador,54,ESA,2,12,1,23,4,27,8,39,13,33.3,21,6,28.6,60,19,31.7,10,5,50.0,25,8,32.0,18,49,5,17,2,200.0,121432,Brazil,27,BRA,2,31,2,38,22,60,18,49,25,51.0,26,13,50.0,75,38,50.7,30,17,56.7,44,25,56.8,8,106,14,10,4,200.0
121441,USA,154,USA,1,30,2,34,17,51,14,59,33,55.9,21,8,38.1,80,41,51.3,20,14,70.0,47,29,61.7,13,104,16,14,5,200.0,121441,Mexico,104,MEX,1,8,2,25,12,37,13,47,18,38.3,18,2,11.1,65,20,30.8,8,6,75.0,38,16,42.1,14,48,11,28,1,200.0
121441,Mexico,104,MEX,2,8,2,25,12,37,13,47,18,38.3,18,2,11.1,65,20,30.8,8,6,75.0,38,16,42.1,14,48,11,28,1,200.0,121441,USA,154,USA,2,30,2,34,17,51,14,59,33,55.9,21,8,38.1,80,41,51.3,20,14,70.0,47,29,61.7,13,104,16,14,5,200.0
121442,Puerto Rico,125,PUR,1,21,4,51,10,61,14,37,11,29.7,33,15,45.5,70,26,37.1,12,8,66.7,23,7,30.4,8,75,5,10,3,200.0,121442,Chile,38,CHI,1,13,2,34,8,42,8,31,12,38.7,41,3,7.3,72,15,20.8,7,5,71.4,29,11,37.9,14,38,5,7,1,200.0
121442,Chile,38,CHI,2,13,2,34,8,42,8,31,12,38.7,41,3,7.3,72,15,20.8,7,5,71.4,29,11,37.9,14,38,5,7,1,200.0,121442,Puerto Rico,125,PUR,2,21,4,51,10,61,14,37,11,29.7,33,15,45.5,70,26,37.1,12,8,66.7,23,7,30.4,8,75,5,10,3,200.0
