pId,name,uniformNumber,position,nationality,teamId,gameId
209053,Elisa Domínguez,11.0,F,El Salvador,54,121425
181560,Adriana Rivas,14.0,PG,El Salvador,54,121425
209055,Fátima Avilés,16.0,PG,El Salvador,54,121425
223293,Kimberly Villalobos,22.0,C,El Salvador,54,121425
266073,Gabriela Alfaro,24.0,PG,El Salvador,54,121425
188447,Hillary Martínez,4.0,SG,El Salvador,54,121425
239401,Brandi Harvey-Carr,44.0,C,El Salvador,54,121425
276288,Ana Quijano,5.0,SF,El Salvador,54,121425
200045,Liliana Alvarado,7.0,F,El Salvador,54,121425
294819,Gabriela Escobar,8.0,SF,El Salvador,54,121425
250001,Silvia Vega,9.0,C,El Salvador,54,121425
188566,Emily Potter,10.0,C,Canada,34,121426
320676,Syla Swords,12.0,G,Canada,34,121426
235589,Merissah Russell,13.0,SG,Canada,34,121426
161433,Kayla Alexander,14.0,C,Canada,34,121426
323517,Phillipina Kyei,15.0,C,Canada,34,121426
196900,Shay Colley,2.0,G,Canada,34,121426
297698,Delaney Gibb,3.0,G,Canada,34,121426
298515,Shayeann Day-Wilson,30.0,PG,Canada,34,121426
188714,Sami Hill,4.0,G,Canada,34,121426
217042,Niyah Becker,7.0,F,Canada,34,121426
266912,Tara Wallack,8.0,SF,Canada,34,121426
172742,Yvonne Ejim,9.0,PF,Canada,34,121426
153423,Agostina Burani,10.0,C,Argentina,14,121426
163689,Melisa Gretter,11.0,PG,Argentina,14,121426
221605,Candela Gentinetta,13.0,SF,Argentina,14,121426
214723,Florencia Chagas,14.0,SG,Argentina,14,121426
277271,Delfina Saravia,19.0,SG,Argentina,14,121426
159332,Macarena D'urso,20.0,PG,Argentina,14,121426
221606,Victoria Gauna,23.0,PF,Argentina,14,121426
200337,Julieta Mungo,3.0,C,Argentina,14,121426
214715,Amaiquen Siciliano,4.0,PG,Argentina,14,121426
176450,Flor Martinez,5.0,SG,Argentina,14,121426
170619,Diana Cabrera,7.0,C,Argentina,14,121426
153434,Andrea Boquete,8.0,SF,Argentina,14,121426
198453,Claudia Ramos,10.0,F,Mexico,104,121435
369234,Gabriela Jaquez,11.0,F,Mexico,104,121435
168876,Myriam Lara,13.0,C,Mexico,104,121435
215141,Alexia Lagunas,14.0,PG,Mexico,104,121435
319031,Anisa Jeffreis,2.0,F,Mexico,104,121435
213361,Hazel Ramirez,22.0,PG,Mexico,104,121435
268451,Mayra Gil,31.0,G,Mexico,104,121435
319490,Ariadna Vidales,33.0,F,Mexico,104,121435
235923,Katia Gallegos,44.0,PG,Mexico,104,121435
227782,Karina Esquer,5.0,G,Mexico,104,121435
268370,Mariana Valenzuela,6.0,F,Mexico,104,121435
224418,Karla Martinez,7.0,SF,Mexico,104,121435
259930,Damaris Alarcon,1.0,PG,Chile,38,121435
178361,Barbara Cousiño,10.0,PF,Chile,38,121435
260056,Valentina Monzo,11.0,C,Chile,38,121435
223051,Constanza Cardenas,12.0,C,Chile,38,121435
221910,Javiera Campos,2.0,PG,Chile,38,121435
235811,Jovanka Ljubetic,22.0,G,Chile,38,121435
186543,Catalina Abuyeres,25.0,PF,Chile,38,121435
230548,Valentina Ojeda,3.0,PF,Chile,38,121435
330308,Amanda Guineo,4.0,G,Chile,38,121435
251604,Catalina Perez,7.0,SF,Chile,38,121435
277480,Antonia Andaur,8.0,SF,Chile,38,121435
260050,Catalina Ramirez,9.0,PG,Chile,38,121435
394219,Hannah Stuelke,10.0,F,USA,154,121436
320127,Kennedy Smith,11.0,F,USA,154,121436
298813,Joyce Edwards,12.0,F,USA,154,121436
392661,Raegan Beers,13.0,C,USA,154,121436
318117,Grace Van Slooten,14.0,F,USA,154,121436
318244,Audi Crooks,15.0,C,USA,154,121436
392454,Flaujae Johnson,4.0,G,USA,154,121436
268469,Olivia Miles,5.0,G,USA,154,121436
319297,Hannah Hidalgo,6.0,G,USA,154,121436
393527,Mikayla Blakes,7.0,G,USA,154,121436
298282,Madison Booker,8.0,F,USA,154,121436
392664,Gianna Kneepkens,9.0,G,USA,154,121436
314520,Marta Moscarella,0.0,SG,Colombia,40,121436
160664,Mabel Martínez,10.0,F,Colombia,40,121436
163900,Jenifer Muñoz,12.0,SG,Colombia,40,121436
189132,Marlyn Vente,14.0,C,Colombia,40,121436
230237,Daniela Gonzalez,19.0,PF,Colombia,40,121436
214983,Valentina Lopez,21.0,C,Colombia,40,121436
189134,Esperanza Delgado,22.0,SG,Colombia,40,121436
278174,Daihana Murillo,5.0,F,Colombia,40,121436
236912,Yuliany Paz,6.0,C,Colombia,40,121436
214994,Mayra Caicedo,7.0,PG,Colombia,40,121436
251137,Carolina Lopez,8.0,PG,Colombia,40,121436
193445,Manuela Rios,9.0,PG,Colombia,40,121436
153423,Agostina Burani,10.0,C,Argentina,14,121427
163689,Melisa Gretter,11.0,PG,Argentina,14,121427
221605,Candela Gentinetta,13.0,SF,Argentina,14,121427
214723,Florencia Chagas,14.0,SG,Argentina,14,121427
277271,Delfina Saravia,19.0,SG,Argentina,14,121427
159332,Macarena D'urso,20.0,PG,Argentina,14,121427
221606,Victoria Gauna,23.0,PF,Argentina,14,121427
200337,Julieta Mungo,3.0,C,Argentina,14,121427
