date,award,emoji,desc,name,team,gameId,stat_val
2025-07-01,Spark Plug,⚡,Best Net Pts off bench,Candela Gentinetta,ARG,121430,25.0
2025-07-01,Ice Cold,🧊,Lowest FG% (min 4 att),Hellary De Los Santos,DOM,121429,0.0
2025-07-01,Rain Maker,🌧️,Most above-break 3s made,Bella Nascimento,BRA,121429,3.0
2025-07-01,Corner Pocket,📐,Most corner 3s made,Florencia Chagas,ARG,121430,2.0
2025-07-01,Juggernaut,🚂,Most shots made at rim,Brandi Harvey-Carr,ESA,121430,5.0
2025-07-01,Surgical,🔬,Most mid-range makes,Arella Guirantes,PUR,121439,7.0
2025-07-01,Speed Demon,💨,Most fast-break points,Gabriela Jaquez,MEX,121439,7.0
2025-07-01,Glass Cleaner,🪟,Most total rebounds,Diana Cabrera,ARG,121430,15.0
2025-07-01,Ball Hawk,🦅,Most steals,Thayna Silva,BRA,121429,6.0
2025-07-01,Cleanup Crew,🧹,Most putback points,Arella Guirantes,PUR,121439,6.0
2025-07-01,Contact Artist,🎯,Most fouls drawn,Kimberly Villalobos,ESA,121430,7.0
2025-07-01,Hacker,🪓,Most personal fouls committed,Giocelis Reynoso,DOM,121429,5.0
2025-07-01,Facilitator,🎁,Most assists,Melisa Gretter,ARG,121430,8.0
2025-07-01,Hot Potato,🥔,Most turnovers,Arella Guirantes,PUR,121439,5.0
2025-07-02,MVP,🏆,Highest total Net Pts,Joyce Edwards,USA,121441,35.0
2025-07-02,LVP,💀,Lowest total Net Pts,Hillary Martínez,ESA,121432,-48.0
2025-07-02,Heater,🔥,Highest Offensive Net Pts,Alana Gonçalo,BRA,121432,16.1
2025-07-02,Off Night,🌑,Lowest Offensive Net Pts,Gabriela Jaquez,MEX,121441,-30.5
2025-07-02,Stopper,🛡️,Highest Defensive Net Pts,Trinity San Antonio,PUR,121442,26.1
2025-07-02,BBQ,🔥🥩,Lowest Defensive Net Pts,Hillary Martínez,ESA,121432,-24.2
2025-07-02,Spark Plug,⚡,Best Net Pts off bench,Thayna Silva,BRA,121432,28.0
2025-07-02,Ice Cold,🧊,Lowest FG% (min 4 att),Sami Hill,CAN,121431,0.0
2025-07-02,Rain Maker,🌧️,Most above-break 3s made,Delaney Gibb,CAN,121431,4.0
2025-07-02,Corner Pocket,📐,Most corner 3s made,Thayna Silva,BRA,121432,2.0
2025-07-02,Juggernaut,🚂,Most shots made at rim,Kayla Alexander,CAN,121431,5.0
2025-07-02,Surgical,🔬,Most mid-range makes,Brandi Harvey-Carr,ESA,121432,4.0
2025-07-02,Speed Demon,💨,Most fast-break points,Mikayla Blakes,USA,121441,8.0
2025-07-02,Glass Cleaner,🪟,Most total rebounds,Constanza Cardenas,CHI,121442,13.0
2025-07-02,Ball Hawk,🦅,Most steals,Hannah Hidalgo,USA,121441,5.0
2025-07-02,Cleanup Crew,🧹,Most putback points,Vitoria Marcelino,BRA,121432,6.0
2025-07-02,Contact Artist,🎯,Most fouls drawn,Ayla McDowell,BRA,121432,4.0
2025-07-02,Hacker,🪓,Most personal fouls committed,Mariana Valenzuela,MEX,121441,5.0
2025-07-02,Facilitator,🎁,Most assists,Olivia Miles,USA,121441,10.0
2025-07-02,Hot Potato,🥔,Most turnovers,Kimberly Villalobos,ESA,121432,5.0
2025-07-04,MVP,🏆,Highest total Net Pts,Hannah Hidalgo,USA,121445,49.0
