gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
128102,217042,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,34,Canada,7.0,Niyah Becker,0,,0,0,0.0
128102,203119,-1,True,2,0,4,4,8,5,0.625,4,2,0.5,12,7,9,8,0.889,1,2,24,5,1,3,23,6,3,50.0,36:12,34,Canada,6.0,Bridget Carleton,1,0.583,36,12,36.2
128102,188565,-8,True,0,0,1,3,5,1,0.2,8,2,0.25,13,3,4,4,1.0,0,2,12,1,1,1,3,4,1,25.0,25:52,34,Canada,5.0,Kia Nurse,1,0.231,25,52,25.9
128102,188714,5,False,1,0,0,1,2,0,0.0,2,0,0.0,4,0,0,0,,1,2,0,1,1,0,-1,1,0,0.0,13:52,34,Canada,4.0,Sami Hill,0,0.0,13,52,13.9
128102,196900,-13,True,2,0,0,0,4,0,0.0,3,1,0.333,7,1,0,0,,1,4,3,1,0,0,0,2,0,0.0,20:16,34,Canada,2.0,Shay Colley,0,0.143,20,16,20.3
128102,217051,12,False,8,0,4,3,7,2,0.286,0,0,,7,2,4,1,0.25,0,1,5,4,1,0,10,6,2,33.3,20:0,34,Canada,1.0,Shaina Pellington,0,0.286,20,0,20.0
128102,155919,10,True,2,2,2,0,3,3,1.0,0,0,,3,3,0,0,,0,2,6,2,1,1,12,3,3,100.0,12:22,152,Türkiye,33.0,Esra Ural Topuz,0,1.0,12,22,12.4
128102,237754,-3,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,1:44,152,Türkiye,30.0,Melek Uzunoglu,0,,1,44,1.7
128102,203508,1,True,1,2,8,2,10,3,0.3,9,2,0.222,19,5,4,4,1.0,3,2,16,11,2,2,16,9,2,22.2,32:46,152,Türkiye,22.0,Kennedy Burke,1,0.263,32,46,32.8
128102,191628,4,False,1,0,0,0,0,0,,1,0,0.0,1,0,0,0,,0,1,0,0,1,1,0,0,0,0.0,5:30,152,Türkiye,20.0,Sinem Atas,0,0.0,5,30,5.5
128102,226823,-17,False,1,0,2,2,4,2,0.5,1,0,0.0,5,2,2,1,0.5,0,2,5,2,0,0,4,2,2,100.0,16:10,152,Türkiye,17.0,Derin Erdogan,0,0.4,16,10,16.2
