gameId,nationality,teamId,shortCode,ID,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,10+ ppg,MP,opp_gameId,opp_nationality,opp_teamId,opp_shortCode,opp_ID,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO,opp_10+ ppg,opp_MP
128109,Türkiye,152,TUR,2,12,5,28,10,38,14,44,22,50.0,19,7,36.8,63,29,46.0,12,10,83.3,34,18,52.9,18,75,5,9,2,200.0,128109,Japan,85,JPN,2,18,3,24,8,32,17,28,14,50.0,34,12,35.3,62,26,41.9,6,3,50.0,15,8,53.3,14,67,3,11,2,200.0
128110,Hungary,75,HUN,1,19,3,33,16,49,27,44,21,47.7,25,10,40.0,69,31,44.9,29,20,69.0,33,17,51.5,25,92,6,15,3,225.0,128110,Argentina,14,ARG,1,15,2,23,5,28,25,39,17,43.6,25,10,40.0,64,27,42.2,19,17,89.5,30,14,46.7,29,81,7,13,2,225.0
128110,Argentina,14,ARG,2,15,2,23,5,28,25,39,17,43.6,25,10,40.0,64,27,42.2,19,17,89.5,30,14,46.7,29,81,7,13,2,225.0,128110,Hungary,75,HUN,2,19,3,33,16,49,27,44,21,47.7,25,10,40.0,69,31,44.9,29,20,69.0,33,17,51.5,25,92,6,15,3,225.0
128111,Türkiye,152,TUR,1,16,4,27,8,35,21,41,23,56.1,18,4,22.2,59,27,45.8,18,16,88.9,28,19,67.9,21,74,8,17,4,200.0,128111,Australia,16,AUS,1,20,2,24,7,31,21,35,17,48.6,22,8,36.4,57,25,43.9,25,19,76.0,32,15,46.9,21,77,14,15,4,200.0
128111,Australia,16,AUS,2,20,2,24,7,31,21,35,17,48.6,22,8,36.4,57,25,43.9,25,19,76.0,32,15,46.9,21,77,14,15,4,200.0,128111,Türkiye,152,TUR,2,16,4,27,8,35,21,41,23,56.1,18,4,22.2,59,27,45.8,18,16,88.9,28,19,67.9,21,74,8,17,4,200.0
128112,Canada,34,CAN,1,18,5,28,26,54,18,45,20,44.4,24,4,16.7,69,24,34.8,12,10,83.3,26,16,61.5,13,62,5,16,3,200.0,128112,Japan,85,JPN,1,14,5,19,13,32,13,39,19,48.7,28,7,25.0,67,26,38.8,9,7,77.8,28,16,57.1,18,66,6,8,3,200.0
128112,Japan,85,JPN,2,14,5,19,13,32,13,39,19,48.7,28,7,25.0,67,26,38.8,9,7,77.8,28,16,57.1,18,66,6,8,3,200.0,128112,Canada,34,CAN,2,18,5,28,26,54,18,45,20,44.4,24,4,16.7,69,24,34.8,12,10,83.3,26,16,61.5,13,62,5,16,3,200.0
128113,Türkiye,152,TUR,1,16,3,21,6,27,18,36,17,47.2,17,8,47.1,53,25,47.2,18,16,88.9,29,15,51.7,19,74,4,14,4,200.0,128113,Hungary,75,HUN,1,25,1,22,11,33,19,51,27,52.9,16,8,50.0,67,35,52.2,13,11,84.6,37,20,54.1,18,89,10,7,4,200.0
128113,Hungary,75,HUN,2,25,1,22,11,33,19,51,27,52.9,16,8,50.0,67,35,52.2,13,11,84.6,37,20,54.1,18,89,10,7,4,200.0,128113,Türkiye,152,TUR,2,16,3,21,6,27,18,36,17,47.2,17,8,47.1,53,25,47.2,18,16,88.9,29,15,51.7,19,74,4,14,4,200.0
128114,Japan,85,JPN,1,21,2,25,7,32,22,22,10,45.5,26,14,53.9,48,24,50.0,23,21,91.3,14,7,50.0,18,83,10,12,3,200.0,128114,Argentina,14,ARG,1,10,2,18,15,33,18,31,7,22.6,21,6,28.6,52,13,25.0,12,7,58.3,22,5,22.7,22,39,6,20,0,200.0
128114,Argentina,14,ARG,2,10,2,18,15,33,18,31,7,22.6,21,6,28.6,52,13,25.0,12,7,58.3,22,5,22.7,22,39,6,20,0,200.0,128114,Japan,85,JPN,2,21,2,25,7,32,22,22,10,45.5,26,14,53.9,48,24,50.0,23,21,91.3,14,7,50.0,18,83,10,12,3,200.0
128115,Australia,16,AUS,1,21,2,29,12,41,18,34,16,47.1,31,13,41.9,65,29,44.6,16,11,68.8,31,15,48.4,18,82,6,15,3,200.0,128115,Canada,34,CAN,1,19,5,26,11,37,18,56,30,53.6,15,3,20.0,71,33,46.5,12,7,58.3,33,22,66.7,18,76,8,9,3,200.0
128115,Canada,34,CAN,2,19,5,26,11,37,18,56,30,53.6,15,3,20.0,71,33,46.5,12,7,58.3,33,22,66.7,18,76,8,9,3,200.0,128115,Australia,16,AUS,2,21,2,29,12,41,18,34,16,47.1,31,13,41.9,65,29,44.6,16,11,68.8,31,15,48.4,18,82,6,15,3,200.0
