pId,name,uniformNumber,position,nationality,teamId,gameId
318293,Kokoro Tanaka,26.0,PG,Japan,85,128105
208014,Stephanie Mawuli,3.0,SF,Japan,85,128105
240137,Aika Hirashita,31.0,SF,Japan,85,128105
323304,Minami Yabu,37.0,SG,Japan,85,128105
181762,Yuki Miyazawa,52.0,PF,Japan,85,128105
259435,Nanako Todo,75.0,SG,Japan,85,128105
176909,Maki Takada,8.0,C,Japan,85,128105
196247,Alperi Onar,10.0,PG,Türkiye,152,128106
237757,Elif Bayram,11.0,PF,Türkiye,152,128106
219676,Zeynep Gul,12.0,C,Türkiye,152,128106
226823,Derin Erdogan,17.0,PG,Türkiye,152,128106
196252,Sevgi Uzun,2.0,SG,Türkiye,152,128106
191628,Sinem Atas,20.0,SF,Türkiye,152,128106
203508,Kennedy Burke,22.0,G,Türkiye,152,128106
237754,Melek Uzunoglu,30.0,SF,Türkiye,152,128106
155919,Esra Ural Topuz,33.0,C,Türkiye,152,128106
168020,Olcay Cakir,4.0,PG,Türkiye,152,128106
226825,Goksen Fitik,6.0,SF,Türkiye,152,128106
168017,Ayse Cora Yamaner,8.0,SG,Türkiye,152,128106
153423,Agostina Burani,10.0,C,Argentina,14,128106
163689,Melisa Gretter,11.0,PG,Argentina,14,128106
221605,Candela Gentinetta,13.0,SF,Argentina,14,128106
214723,Florencia Chagas,14.0,SG,Argentina,14,128106
277271,Delfina Saravia,19.0,SG,Argentina,14,128106
159332,Macarena D'urso,20.0,PG,Argentina,14,128106
221606,Victoria Gauna,23.0,PF,Argentina,14,128106
214715,Amaiquen Siciliano,4.0,PG,Argentina,14,128106
176450,Flor Martinez,5.0,SG,Argentina,14,128106
215179,Laila Raviolo,6.0,SF,Argentina,14,128106
170619,Diana Cabrera,7.0,C,Argentina,14,128106
200337,Julieta Mungo,9.0,C,Argentina,14,128106
194496,Alanna Smith,11.0,F,Australia,16,128107
252289,Stephanie Reid,12.0,PG,Australia,16,128107
216865,Ezi Magbegor,13.0,F,Australia,16,128107
151395,Cayla George,15.0,F,Australia,16,128107
239719,Jade Melbourne,2.0,G,Australia,16,128107
271348,Isobel Borlase,20.0,G,Australia,16,128107
229038,Zitina Aokuso,22.0,PF,Australia,16,128107
236147,Alexandra Fowler,23.0,F,Australia,16,128107
191935,Sami Whitcomb,32.0,G,Australia,16,128107
181326,Alex Wilson,44.0,SG,Australia,16,128107
205418,Chloe Bibby,55.0,PF,Australia,16,128107
176788,Steph Talbot,6.0,SF,Australia,16,128107
196468,Nina Aho,10.0,PG,Hungary,75,128107
322804,Kinga Josepovits,11.0,C,Hungary,75,128107
211298,Agnes Torok,13.0,SF,Hungary,75,128107
219323,Dorka Juhasz,14.0,PF,Hungary,75,128107
226454,Aliz Varga,18.0,SF,Hungary,75,128107
204217,Virag Takacs-Kiss,2.0,C,Hungary,75,128107
211291,Reka Lelik,21.0,SG,Hungary,75,128107
186040,Yvonne Turner,22.0,PG,Hungary,75,128107
237943,Reka Dombai,3.0,SF,Hungary,75,128107
226441,Panka Dul,33.0,G,Hungary,75,128107
196471,Debora Dubei,4.0,SF,Hungary,75,128107
301871,Petra Toman,42.0,SF,Hungary,75,128107
153423,Agostina Burani,10.0,C,Argentina,14,128108
163689,Melisa Gretter,11.0,PG,Argentina,14,128108
221605,Candela Gentinetta,13.0,SF,Argentina,14,128108
214723,Florencia Chagas,14.0,SG,Argentina,14,128108
277271,Delfina Saravia,19.0,SG,Argentina,14,128108
159332,Macarena D'urso,20.0,PG,Argentina,14,128108
221606,Victoria Gauna,23.0,PF,Argentina,14,128108
214715,Amaiquen Siciliano,4.0,PG,Argentina,14,128108
176450,Flor Martinez,5.0,SG,Argentina,14,128108
215179,Laila Raviolo,6.0,SF,Argentina,14,128108
170619,Diana Cabrera,7.0,C,Argentina,14,128108
200337,Julieta Mungo,9.0,C,Argentina,14,128108
217051,Shaina Pellington,1.0,PG,Canada,34,128108
235589,Merissah Russell,13.0,SG,Canada,34,128108
161433,Kayla Alexander,14.0,C,Canada,34,128108
196900,Shay Colley,2.0,G,Canada,34,128108
215167,Aaliyah Edwards,24.0,F,Canada,34,128108
250669,Faith Dut,25.0,C,Canada,34,128108
188714,Sami Hill,4.0,G,Canada,34,128108
188565,Kia Nurse,5.0,G,Canada,34,128108
203119,Bridget Carleton,6.0,SF,Canada,34,128108
217042,Niyah Becker,7.0,F,Canada,34,128108
266912,Tara Wallack,8.0,SF,Canada,34,128108
172742,Yvonne Ejim,9.0,PF,Canada,34,128108
