date,award,emoji,desc,name,team,gameId,stat_val
2026-03-15,Spark Plug,⚡,Best Net Pts off bench,Virag Takacs-Kiss,HUN,128110,17.0
2026-03-15,Ice Cold,🧊,Lowest FG% (min 4 att),Yvonne Turner,HUN,128110,0.0
2026-03-15,Rain Maker,🌧️,Most above-break 3s made,Florencia Chagas,ARG,128110,4.0
2026-03-15,Corner Pocket,📐,Most corner 3s made,Reka Dombai,HUN,128110,2.0
2026-03-15,Juggernaut,🚂,Most shots made at rim,Aaliyah Edwards,CAN,128112,5.0
2026-03-15,Surgical,🔬,Most mid-range makes,Aaliyah Edwards,CAN,128112,3.0
2026-03-15,Speed Demon,💨,Most fast-break points,Cayla George,AUS,128111,9.0
2026-03-15,Glass Cleaner,🪟,Most total rebounds,Virag Takacs-Kiss,HUN,128110,18.0
2026-03-15,Ball Hawk,🦅,Most steals,Sami Whitcomb,AUS,128111,5.0
2026-03-15,Cleanup Crew,🧹,Most putback points,Alanna Smith,AUS,128111,4.0
2026-03-15,Contact Artist,🎯,Most fouls drawn,Virag Takacs-Kiss,HUN,128110,11.0
2026-03-15,Hacker,🪓,Most personal fouls committed,Florencia Chagas,ARG,128110,5.0
2026-03-15,Facilitator,🎁,Most assists,Reka Lelik,HUN,128110,7.0
2026-03-15,Hot Potato,🥔,Most turnovers,Olcay Cakir,TUR,128111,5.0
2026-03-17,MVP,🏆,Highest total Net Pts,Mai Yamamoto,JPN,128114,32.0
2026-03-17,LVP,💀,Lowest total Net Pts,Melisa Gretter,ARG,128114,-32.0
2026-03-17,Heater,🔥,Highest Offensive Net Pts,Dorka Juhasz,HUN,128113,23.8
2026-03-17,Off Night,🌑,Lowest Offensive Net Pts,Melisa Gretter,ARG,128114,-16.4
2026-03-17,Stopper,🛡️,Highest Defensive Net Pts,Mai Yamamoto,JPN,128114,16.4
2026-03-17,BBQ,🔥🥩,Lowest Defensive Net Pts,Melisa Gretter,ARG,128114,-15.6
