gameId,pId,PM,Starter,AS,BS,DR,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FTA,FTM,FTP,OR,PF,PTS,REB,ST,TO,EFF,FGIA,FGIM,FGIP,TP,teamId,nationality,uniformNumber,name,10+ ppg,FGP,mins,secs,MP
130903,415990,15,False,0,0,5,2,4,2,0.5,1,1,1.0,5,3,2,2,1.0,2,0,9,7,3,1,16,3,2,66.7,14:53,34,Canada,3.0,Eunicia Salgado,0,0.6,14,53,14.9
130903,368568,22,False,2,0,4,2,5,2,0.4,0,0,,5,2,3,1,0.333,2,1,5,6,1,1,8,4,2,50.0,13:47,34,Canada,1.0,Emilia Krstevski,0,0.4,13,47,13.8
130903,415989,20,False,0,2,4,2,3,1,0.333,0,0,,3,1,4,1,0.25,0,0,3,4,2,1,5,2,0,0.0,15:45,34,Canada,11.0,Isabella Sangha,0,0.333,15,45,15.8
130903,415969,23,False,3,0,0,3,4,1,0.25,6,2,0.333,10,3,4,4,1.0,0,1,12,0,1,2,7,4,1,25.0,16:40,34,Canada,12.0,Alex Newson,1,0.3,16,40,16.7
130903,368223,48,True,2,0,2,2,2,2,1.0,0,0,,2,2,4,2,0.5,1,3,6,3,1,3,7,2,2,100.0,18:33,34,Canada,17.0,Brooke McLeod,0,1.0,18,33,18.6
130903,342677,36,True,4,1,6,2,7,6,0.857,3,1,0.333,10,7,4,2,0.5,0,1,17,6,2,1,24,4,3,75.0,20:18,34,Canada,21.0,Savannah Swords,1,0.7,20,18,20.3
130903,342483,28,True,2,1,3,2,3,3,1.0,1,1,1.0,4,4,2,2,1.0,0,2,11,3,2,1,18,3,3,100.0,20:18,34,Canada,23.0,Jordyn Wheeler,1,1.0,20,18,20.3
130903,371983,-16,False,1,0,1,0,0,0,,2,0,0.0,2,0,0,0,,2,3,0,3,1,2,1,0,0,0.0,14:27,125,Puerto Rico,0.0,Amahya Hernandez,0,0.0,14,27,14.4
130903,320462,-38,True,0,0,2,1,7,2,0.286,8,2,0.25,15,4,2,2,1.0,0,2,12,2,1,3,1,3,0,0.0,21:8,125,Puerto Rico,1.0,Andrea Alamo,1,0.267,21,8,21.1
130903,415448,-5,False,3,0,1,3,0,0,,0,0,,0,0,4,1,0.25,2,1,1,3,0,5,-1,0,0,0.0,15:5,125,Puerto Rico,2.0,Nyasia Caban,0,,15,5,15.1
130903,342175,-25,False,0,0,0,0,0,0,,2,0,0.0,2,0,0,0,,0,0,0,0,2,3,-3,0,0,0.0,12:52,125,Puerto Rico,3.0,Valeria Muñoz,0,0.0,12,52,12.9
130903,371631,-32,True,1,0,1,3,8,4,0.5,1,0,0.0,9,4,2,1,0.5,1,2,9,2,1,0,7,7,3,42.9,18:24,125,Puerto Rico,10.0,Lucianna Parrotta,0,0.444,18,24,18.4
130903,415780,-47,True,0,0,1,1,1,0,0.0,4,0,0.0,5,0,0,0,,0,1,0,1,0,3,-7,1,0,0.0,16:49,125,Puerto Rico,11.0,Mia Huckaby,0,0.0,16,49,16.8
130903,342087,-28,False,1,0,3,0,4,2,0.5,0,0,,4,2,0,0,,0,3,4,3,0,2,4,4,2,50.0,13:55,125,Puerto Rico,12.0,Natalia Centeno,0,0.5,13,55,13.9
130903,394218,-31,True,1,1,3,0,6,3,0.5,0,0,,6,3,0,0,,0,1,6,3,0,2,6,4,2,50.0,18:26,125,Puerto Rico,14.0,Valeria Medina,0,0.5,18,26,18.4
130903,319010,-11,False,0,0,1,0,4,1,0.25,1,0,0.0,5,1,0,0,,2,0,2,3,0,2,-1,2,1,50.0,11:33,125,Puerto Rico,15.0,Walushka Hodge,0,0.2,11,33,11.6
130903,320463,-36,True,1,0,3,0,3,1,0.333,1,0,0.0,4,1,0,0,,1,3,2,4,1,2,3,2,0,0.0,20:3,125,Puerto Rico,21.0,Jaely De Leon,0,0.25,20,3,20.0
130903,305567,-26,False,1,0,1,4,1,0,0.0,1,0,0.0,2,0,0,0,,0,4,0,1,0,1,-1,1,0,0.0,15:14,125,Puerto Rico,22.0,Ariana Montalvo,0,0.0,15,14,15.2
130903,393969,-25,False,1,0,1,1,4,2,0.5,3,0,0.0,7,2,0,0,,0,3,4,1,0,3,-2,4,2,50.0,22:4,125,Puerto Rico,31.0,Miranda Wilson,0,0.286,22,4,22.1
130908,372209,15,False,0,1,1,1,5,2,0.4,0,0,,5,2,2,1,0.5,1,3,5,2,0,2,2,2,1,50.0,19:2,104,Mexico,67.0,Yania Valverde,0,0.4,19,2,19.0
130908,417356,9,False,1,0,6,0,2,0,0.0,0,0,,2,0,0,0,,0,1,0,6,1,3,3,2,0,0.0,16:11,104,Mexico,23.0,Ana Camila Paez,0,0.0,16,11,16.2
130908,417362,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,104,Mexico,20.0,Paulina Cisneros,0,,0,0,0.0
130908,417360,0,False,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0:0,104,Mexico,15.0,Karmina Reyes,0,,0,0,0.0
130908,417361,1,True,1,0,1,1,2,0,0.0,1,1,1.0,3,1,2,1,0.5,3,1,4,4,1,1,6,0,0,0.0,17:12,104,Mexico,13.0,Mildred Vazquez,0,0.333,17,12,17.2
130908,417364,7,False,1,0,4,1,2,2,1.0,1,0,0.0,3,2,2,1,0.5,1,0,5,5,1,0,10,2,2,100.0,13:4,104,Mexico,12.0,Sofia Saucedo,0,0.667,13,4,13.1
130908,417357,19,True,6,0,4,3,0,0,,7,4,0.571,7,4,2,1,0.5,0,2,13,4,2,2,19,0,0,0.0,22:51,104,Mexico,11.0,Fernanda Campos,1,0.571,22,51,22.8
130908,372195,7,True,1,3,5,3,8,5,0.625,4,2,0.5,12,7,0,0,,4,4,16,9,1,5,20,8,5,62.5,27:35,104,Mexico,10.0,Aislin Tamez,1,0.583,27,35,27.6
130908,417365,5,False,2,0,3,3,4,1,0.25,2,0,0.0,6,1,6,2,0.333,2,1,4,5,1,1,2,4,1,25.0,19:12,104,Mexico,9.0,Valentina Peraza,0,0.167,19,12,19.2
130908,372193,19,True,9,0,3,6,9,6,0.667,2,1,0.5,11,7,9,7,0.778,1,1,22,4,6,5,30,8,5,62.5,34:31,104,Mexico,6.0,Jimena Velazquez,1,0.636,34,31,34.5
130908,417317,5,True,0,0,2,0,1,0,0.0,4,1,0.25,5,1,0,0,,0,0,3,2,0,1,0,1,0,0.0,16:22,104,Mexico,3.0,Renata Palma,0,0.2,16,22,16.4
