date,award,emoji,desc,name,team,gameId,stat_val
2026-06-12,Hot Potato,🥔,Most turnovers,Chantal Lopez,DOM,130905,7.0
2026-06-13,MVP,🏆,Highest total Net Pts,Sofia Lombardero,ARG,134672,44.0
2026-06-13,LVP,💀,Lowest total Net Pts,Alanna Monte,DOM,134672,-46.0
2026-06-13,Heater,🔥,Highest Offensive Net Pts,Sofia Lombardero,ARG,134672,17.9
2026-06-13,Off Night,🌑,Lowest Offensive Net Pts,Alanna Monte,DOM,134672,-27.3
2026-06-13,Stopper,🛡️,Highest Defensive Net Pts,Sofia Lombardero,ARG,134672,26.1
2026-06-13,BBQ,🔥🥩,Lowest Defensive Net Pts,Alanna Monte,DOM,134672,-18.7
2026-06-13,Spark Plug,⚡,Best Net Pts off bench,Mezharith Beleño,VEN,134673,24.0
2026-06-13,Ice Cold,🧊,Lowest FG% (min 4 att),Alanna Monte,DOM,134672,0.0
2026-06-13,Rain Maker,🌧️,Most above-break 3s made,Sofia Lombardero,ARG,134672,4.0
2026-06-13,Corner Pocket,📐,Most corner 3s made,Sofia Lombardero,ARG,134672,2.0
2026-06-13,Juggernaut,🚂,Most shots made at rim,Mezharith Beleño,VEN,134673,8.0
2026-06-13,Surgical,🔬,Most mid-range makes,Astrid Inojosa,VEN,134673,2.0
2026-06-13,Speed Demon,💨,Most fast-break points,Sofia Lombardero,ARG,134672,4.0
2026-06-13,Glass Cleaner,🪟,Most total rebounds,Isabella Roldan,ARG,134672,13.0
2026-06-13,Ball Hawk,🦅,Most steals,Sofia Gonzalez,ARG,134672,4.0
2026-06-13,Cleanup Crew,🧹,Most putback points,Mezharith Beleño,VEN,134673,4.0
2026-06-13,Contact Artist,🎯,Most fouls drawn,Aislin Tamez,MEX,134673,7.0
2026-06-13,Hacker,🪓,Most personal fouls committed,Yania Valverde,MEX,134673,5.0
2026-06-13,Facilitator,🎁,Most assists,Jimena Velazquez,MEX,134673,9.0
2026-06-13,Hot Potato,🥔,Most turnovers,Mezharith Beleño,VEN,134673,6.0
2026-06-14,MVP,🏆,Highest total Net Pts,Kaleena Smith,USA,134677,32.0
2026-06-14,LVP,💀,Lowest total Net Pts,Albanys Ramirez,VEN,134677,-41.0
2026-06-14,Heater,🔥,Highest Offensive Net Pts,Kaleena Smith,USA,134677,11.7
2026-06-14,Off Night,🌑,Lowest Offensive Net Pts,Albanys Ramirez,VEN,134677,-26.0
2026-06-14,Stopper,🛡️,Highest Defensive Net Pts,Kaleena Smith,USA,134677,20.3
2026-06-14,BBQ,🔥🥩,Lowest Defensive Net Pts,Albanys Ramirez,VEN,134677,-15.0
2026-06-14,Spark Plug,⚡,Best Net Pts off bench,Sydney Savoury,USA,134677,31.0
2026-06-14,Ice Cold,🧊,Lowest FG% (min 4 att),Sofia Gonzalez,ARG,134676,0.0
2026-06-14,Rain Maker,🌧️,Most above-break 3s made,Fernanda Campos,MEX,134675,4.0
2026-06-14,Corner Pocket,📐,Most corner 3s made,Lucianna Parrotta,PUR,134675,2.0
2026-06-14,Juggernaut,🚂,Most shots made at rim,Santina Cherot,ARG,134676,5.0
2026-06-14,Surgical,🔬,Most mid-range makes,Yarianna Torres,DOM,134674,1.0
2026-06-14,Speed Demon,💨,Most fast-break points,Bethsaida Ferreira,PAR,134674,8.0
2026-06-14,Glass Cleaner,🪟,Most total rebounds,Alanna Monte,DOM,134674,13.0
2026-06-14,Ball Hawk,🦅,Most steals,Jimena Velazquez,MEX,134675,8.0
2026-06-14,Cleanup Crew,🧹,Most putback points,Ryan Carter,USA,134677,4.0
2026-06-14,Contact Artist,🎯,Most fouls drawn,Mildred Vazquez,MEX,134675,6.0
2026-06-14,Hacker,🪓,Most personal fouls committed,Sofia Blanca,VEN,134677,5.0
2026-06-14,Facilitator,🎁,Most assists,Aislin Tamez,MEX,134675,10.0
2026-06-14,Hot Potato,🥔,Most turnovers,Chantal Lopez,DOM,134674,6.0
2026-06-15,MVP,🏆,Highest total Net Pts,Renata Scordo,ARG,134680,24.0
2026-06-15,LVP,💀,Lowest total Net Pts,Kaylen Sta Maria,CAN,134681,-28.0
2026-06-15,Heater,🔥,Highest Offensive Net Pts,Ryan Carter,USA,134681,9.7
2026-06-15,Off Night,🌑,Lowest Offensive Net Pts,Alexandra Cabeza,VEN,134680,-18.5
2026-06-15,Stopper,🛡️,Highest Defensive Net Pts,Renata Scordo,ARG,134680,21.1
2026-06-15,BBQ,🔥🥩,Lowest Defensive Net Pts,Kaylen Sta Maria,CAN,134681,-13.6
2026-06-15,Spark Plug,⚡,Best Net Pts off bench,Ryan Carter,USA,134681,20.0
2026-06-15,Ice Cold,🧊,Lowest FG% (min 4 att),Dignora Duval,DOM,134678,0.0
2026-06-15,Rain Maker,🌧️,Most above-break 3s made,Kaleena Smith,USA,134681,4.0
2026-06-15,Corner Pocket,📐,Most corner 3s made,Mia Huckaby,PUR,134678,2.0
2026-06-15,Juggernaut,🚂,Most shots made at rim,Jordyn Palmer,USA,134681,9.0
2026-06-15,Surgical,🔬,Most mid-range makes,Jimena Velazquez,MEX,134679,2.0
2026-06-15,Speed Demon,💨,Most fast-break points,Mezharith Beleño,VEN,134680,4.0
2026-06-15,Glass Cleaner,🪟,Most total rebounds,Renata Scordo,ARG,134680,18.0
2026-06-15,Ball Hawk,🦅,Most steals,Bethsaida Ferreira,PAR,134679,6.0
2026-06-15,Cleanup Crew,🧹,Most putback points,Renata Scordo,ARG,134680,8.0
2026-06-15,Contact Artist,🎯,Most fouls drawn,Jimena Velazquez,MEX,134679,9.0
2026-06-15,Hacker,🪓,Most personal fouls committed,Giovana Gonzalez,PAR,134679,5.0
2026-06-15,Facilitator,🎁,Most assists,Gabriela Morash,CAN,134681,9.0
2026-06-15,Hot Potato,🥔,Most turnovers,Savannah Swords,CAN,134681,7.0
